User_ID,Gender,Age,Occupation
1000001,f,0-17,10
1000002,m,55+,16
1000003,m,26-35,15
1000004,m,46-50,7
1000005,m,26-35,20
1000006,f,51-55,9
1000007,m,36-45,1
1000008,m,26-35,12
1000009,m,26-35,17
1000010,f,36-45,1
1000011,f,26-35,1
1000012,m,26-35,12
1000013,m,46-50,1
1000014,m,36-45,0
1000015,m,26-35,7
1000016,f,36-45,0
1000017,m,51-55,1
1000018,f,18-25,3
1000019,m,0-17,10
1000021,m,18-25,16
1000022,m,18-25,15
1000023,m,36-45,0
1000024,f,26-35,7
1000025,m,18-25,4
1000026,m,26-35,7
1000027,m,26-35,11
1000028,f,26-35,1
1000029,m,36-45,7
1000030,f,36-45,7
1000031,m,55+,7
1000032,f,26-35,0
1000033,m,46-50,3
1000034,f,18-25,0
1000035,m,46-50,1
1000036,m,26-35,3
1000037,f,26-35,9
1000039,m,18-25,4
1000041,f,18-25,4
1000042,m,26-35,8
1000043,m,26-35,12
1000044,m,46-50,17
1000045,f,46-50,16
1000046,m,18-25,19
1000047,m,18-25,4
1000048,m,26-35,4
1000049,m,18-25,12
1000050,f,26-35,2
1000051,f,0-17,10
1000052,m,18-25,4
1000053,m,26-35,0
1000054,m,51-55,1
1000056,m,36-45,20
1000057,m,18-25,19
1000058,m,26-35,2
1000059,f,51-55,1
1000060,m,51-55,1
1000061,m,26-35,17
1000062,f,36-45,3
1000063,m,18-25,4
1000064,m,18-25,1
1000065,m,36-45,12
1000066,m,26-35,18
1000067,f,51-55,5
1000068,m,18-25,4
1000069,f,26-35,1
1000070,m,18-25,4
1000071,m,26-35,14
1000072,f,46-50,0
1000073,m,18-25,4
1000074,m,36-45,14
1000075,f,0-17,10
1000076,m,36-45,7
1000077,m,18-25,4
1000078,f,46-50,1
1000079,f,46-50,0
1000080,m,55+,1
1000081,f,26-35,0
1000082,m,26-35,17
1000083,f,26-35,2
1000084,m,18-25,4
1000085,m,18-25,4
1000086,f,0-17,10
1000087,m,26-35,14
1000088,f,46-50,1
1000089,f,55+,9
1000090,m,55+,13
1000091,m,36-45,7
1000092,f,18-25,4
1000093,m,26-35,17
1000094,m,26-35,17
1000095,m,46-50,0
1000096,f,26-35,16
1000097,f,36-45,3
1000099,f,0-17,10
1000100,m,36-45,17
1000101,f,18-25,3
1000102,m,36-45,19
1000103,m,46-50,7
1000105,m,46-50,12
1000106,f,36-45,11
1000107,m,46-50,18
1000108,m,26-35,12
1000109,m,46-50,15
1000110,m,26-35,2
1000111,m,36-45,15
1000112,m,26-35,16
1000113,m,18-25,12
1000114,f,26-35,2
1000116,m,26-35,17
1000117,m,26-35,17
1000118,m,36-45,17
1000119,f,0-17,10
1000120,m,26-35,11
1000121,m,36-45,7
1000122,f,18-25,4
1000123,m,36-45,9
1000124,m,55+,7
1000125,m,46-50,14
1000126,m,18-25,9
1000127,f,46-50,3
1000128,m,55+,6
1000129,m,26-35,11
1000130,m,36-45,17
1000131,m,18-25,4
1000132,m,26-35,17
1000133,f,26-35,0
1000134,m,26-35,0
1000135,m,18-25,4
1000136,m,18-25,2
1000137,f,46-50,6
1000138,m,18-25,20
1000139,f,26-35,20
1000140,f,36-45,1
1000142,m,26-35,7
1000143,m,18-25,3
1000145,m,18-25,4
1000146,f,36-45,20
1000147,m,18-25,4
1000148,m,51-55,17
1000149,m,26-35,1
1000150,m,36-45,7
1000151,f,26-35,20
1000152,m,18-25,4
1000153,m,0-17,10
1000154,m,51-55,20
1000155,m,36-45,12
1000156,f,46-50,7
1000157,m,36-45,16
1000158,m,55+,7
1000159,f,46-50,0
1000160,m,36-45,7
1000161,m,46-50,16
1000162,f,18-25,4
1000163,m,18-25,4
1000165,m,18-25,16
1000166,m,18-25,4
1000169,m,26-35,7
1000170,m,26-35,11
1000171,f,51-55,17
1000172,m,26-35,3
1000173,m,26-35,0
1000174,m,26-35,16
1000175,f,26-35,2
1000176,f,18-25,3
1000177,m,51-55,1
1000178,m,55+,17
1000179,m,26-35,0
1000180,m,46-50,12
1000181,m,18-25,17
1000182,m,18-25,4
1000183,f,46-50,1
1000184,f,26-35,0
1000185,m,46-50,0
1000186,m,18-25,5
1000187,f,46-50,1
1000188,m,55+,16
1000190,m,26-35,17
1000191,m,18-25,4
1000192,m,18-25,1
1000193,f,46-50,15
1000194,f,0-17,10
1000195,m,26-35,12
1000196,f,36-45,9
1000197,m,18-25,14
1000198,m,26-35,12
1000199,m,18-25,4
1000200,f,18-25,4
1000201,f,36-45,2
1000202,m,18-25,4
1000203,f,18-25,4
1000204,m,26-35,7
1000205,m,36-45,12
1000206,m,26-35,17
1000208,m,36-45,17
1000209,m,36-45,1
1000210,f,0-17,10
1000211,m,46-50,17
1000212,m,26-35,16
1000214,m,18-25,20
1000215,m,36-45,14
1000216,m,46-50,13
1000217,m,18-25,4
1000218,m,36-45,14
1000219,f,26-35,4
1000220,m,26-35,12
1000221,f,26-35,0
1000222,m,26-35,1
1000223,m,26-35,17
1000225,m,26-35,7
1000227,m,36-45,20
1000228,m,26-35,15
1000229,m,18-25,10
1000230,m,46-50,1
1000231,m,26-35,3
1000232,m,26-35,20
1000233,f,46-50,20
1000234,m,36-45,7
1000235,m,26-35,0
1000236,m,26-35,5
1000237,m,26-35,6
1000238,f,51-55,7
1000239,m,18-25,19
1000240,m,51-55,17
1000242,f,18-25,4
1000243,m,26-35,16
1000244,m,51-55,7
1000245,m,36-45,16
1000246,f,18-25,4
1000249,f,18-25,14
1000250,m,36-45,16
1000251,m,55+,17
1000252,m,26-35,12
1000253,f,26-35,11
1000254,m,36-45,17
1000255,m,36-45,0
1000256,m,46-50,16
1000257,m,18-25,18
1000258,m,26-35,7
1000259,m,26-35,1
1000260,m,18-25,19
1000261,m,26-35,20
1000262,f,26-35,1
1000263,f,26-35,7
1000264,m,36-45,0
1000265,f,36-45,7
1000266,m,36-45,11
1000267,m,46-50,12
1000268,f,18-25,12
1000269,m,26-35,2
1000270,m,51-55,14
1000271,m,18-25,4
1000272,m,18-25,0
1000273,m,18-25,4
1000274,m,18-25,4
1000275,m,26-35,0
1000276,m,46-50,16
1000278,m,46-50,18
1000279,m,26-35,14
1000280,m,51-55,7
1000281,f,36-45,0
1000282,m,26-35,17
1000284,m,26-35,12
1000285,f,36-45,0
1000287,m,51-55,13
1000289,f,26-35,0
1000291,m,36-45,12
1000292,m,36-45,7
1000293,m,55+,1
1000295,m,18-25,0
1000296,m,51-55,5
1000297,m,18-25,2
1000298,f,18-25,4
1000299,m,26-35,12
1000300,m,26-35,7
1000301,m,18-25,4
1000302,m,18-25,4
1000303,m,26-35,7
1000304,m,26-35,0
1000305,f,18-25,0
1000306,m,18-25,0
1000307,m,51-55,16
1000308,m,26-35,2
1000309,m,26-35,4
1000310,f,18-25,4
1000311,m,18-25,4
1000312,f,51-55,2
1000313,f,18-25,4
1000314,f,55+,9
1000315,f,55+,1
1000316,m,55+,13
1000318,f,55+,13
1000319,f,51-55,6
1000320,m,36-45,6
1000321,m,18-25,4
1000322,m,55+,17
1000323,m,46-50,12
1000324,m,36-45,17
1000325,f,51-55,3
1000326,m,51-55,11
1000327,m,36-45,18
1000328,m,36-45,12
1000329,m,36-45,7
1000330,m,55+,7
1000331,m,26-35,7
1000332,m,51-55,1
1000333,m,36-45,2
1000334,f,55+,2
1000335,m,36-45,18
1000336,m,18-25,0
1000337,m,18-25,19
1000338,m,36-45,7
1000339,m,51-55,7
1000340,f,26-35,3
1000342,m,18-25,12
1000343,f,36-45,3
1000344,m,36-45,14
1000345,m,26-35,12
1000346,f,26-35,0
1000347,f,55+,1
1000348,m,51-55,7
1000349,m,0-17,10
1000350,m,46-50,20
1000351,m,18-25,4
1000352,m,18-25,4
1000353,f,36-45,7
1000354,m,36-45,1
1000355,m,18-25,3
1000356,m,55+,20
1000357,m,18-25,0
1000359,m,26-35,17
1000360,m,36-45,17
1000362,m,36-45,20
1000363,m,18-25,10
1000365,f,18-25,4
1000366,m,51-55,15
1000368,m,26-35,0
1000369,m,36-45,1
1000370,m,18-25,17
1000371,m,18-25,4
1000372,f,18-25,4
1000374,f,36-45,14
1000375,m,26-35,2
1000376,m,36-45,1
1000377,m,26-35,17
1000379,f,36-45,1
1000380,m,26-35,2
1000381,m,36-45,17
1000382,f,36-45,20
1000383,f,26-35,7
1000384,m,26-35,11
1000385,m,26-35,6
1000386,m,26-35,0
1000387,f,36-45,7
1000388,f,26-35,0
1000389,m,26-35,6
1000390,m,26-35,4
1000391,m,46-50,11
1000392,m,18-25,7
1000393,m,36-45,17
1000394,m,18-25,0
1000396,m,26-35,1
1000397,m,36-45,17
1000398,m,26-35,17
1000399,f,36-45,6
1000400,f,18-25,3
1000401,m,18-25,0
1000402,m,26-35,11
1000403,m,18-25,4
1000405,m,55+,1
1000406,m,26-35,20
1000408,m,26-35,11
1000409,m,18-25,12
1000410,f,26-35,1
1000411,f,46-50,1
1000412,m,36-45,15
1000413,m,26-35,11
1000414,m,26-35,0
1000415,f,36-45,0
1000416,m,46-50,14
1000417,f,26-35,0
1000418,f,26-35,3
1000419,m,18-25,3
1000420,m,36-45,1
1000421,f,46-50,3
1000422,m,55+,17
1000423,m,18-25,4
1000424,m,26-35,17
1000425,m,26-35,12
1000426,m,18-25,4
1000429,m,18-25,0
1000430,f,18-25,10
1000431,m,18-25,10
1000433,m,51-55,6
1000434,f,46-50,3
1000435,m,26-35,7
1000436,m,18-25,4
1000437,m,36-45,17
1000438,m,18-25,11
1000439,m,36-45,14
1000442,m,26-35,1
1000443,m,26-35,3
1000444,m,55+,0
1000445,m,46-50,12
1000446,f,51-55,0
1000447,f,46-50,11
1000448,m,26-35,17
1000449,m,26-35,7
1000450,m,46-50,1
1000451,m,55+,13
1000452,m,51-55,17
1000453,m,18-25,4
1000454,m,26-35,20
1000456,m,36-45,0
1000457,m,18-25,4
